Accused Name,Crime Type,Location,Date,Modus Operandi
Mrs. Diane Reyes,Robbery,Madurai,2024-09-08,Accused used a weapon to threaten victims and steal valuables.
Christopher Gonzalez,Fraud,Tirunelveli,2025-01-06,Accused created fake documents to obtain loans under false identity.
David Davidson,Kidnapping,Tiruppur,2024-01-09,Accused abducted victim and demanded ransom through anonymous calls.
Ashley Singleton,Arson,Vellore,2022-12-22,Accused intentionally set fire to property using flammable materials.
Phillip Nelson,Kidnapping,Coimbatore,2024-08-17,Accused abducted victim and demanded ransom through anonymous calls.
Jeffrey Potts,Cybercrime,Namakkal,2023-05-22,Accused used phishing emails to obtain personal data and commit financial fraud.
Stacey Arias,Robbery,Namakkal,2024-03-17,Accused used a weapon to threaten victims and steal valuables.
Jonathan Young,Assault,Cuddalore,2022-10-16,Accused attacked the victim using a blunt object in a public place.
Alfred Galvan,Assault,Kanchipuram,2025-03-17,Accused attacked the victim using a blunt object in a public place.
Charles Johnson,Arson,Salem,2024-06-14,Accused intentionally set fire to property using flammable materials.
Brenda Thornton,Fraud,Thanjavur,2024-05-08,Accused created fake documents to obtain loans under false identity.
Susan Smith,Fraud,Coimbatore,2023-05-13,Accused created fake documents to obtain loans under false identity.
Kimberly Acosta,Robbery,Dindigul,2024-09-08,Accused used a weapon to threaten victims and steal valuables.
Ricardo Young,Robbery,Coimbatore,2022-12-18,Accused used a weapon to threaten victims and steal valuables.
Jason Bauer,Arson,Nagercoil,2024-05-22,Accused intentionally set fire to property using flammable materials.
Russell Porter,Cybercrime,Coimbatore,2024-09-21,Accused used phishing emails to obtain personal data and commit financial fraud.
Jose Allen,Burglary,Tirunelveli,2023-01-21,Accused broke into the premises through windows during nighttime.
Aaron Gomez,Burglary,Hosur,2024-11-14,Accused broke into the premises through windows during nighttime.
Matthew Miller,Burglary,Erode,2023-12-24,Accused broke into the premises through windows during nighttime.
Joseph Romero,Kidnapping,Tiruchirappalli,2024-08-08,Accused abducted victim and demanded ransom through anonymous calls.
Jeanette Harrison,Fraud,Rajapalayam,2025-02-23,Accused created fake documents to obtain loans under false identity.
James Burgess,Robbery,Hosur,2023-12-18,Accused used a weapon to threaten victims and steal valuables.
Haley Quinn,Burglary,Kanchipuram,2025-02-11,Accused broke into the premises through windows during nighttime.
Kevin Sherman,Drug Trafficking,Thoothukudi,2023-01-05,Accused smuggled drugs across borders using concealed luggage.
Joshua Li,Fraud,Dindigul,2023-03-10,Accused created fake documents to obtain loans under false identity.
Melinda Pollard,Fraud,Thoothukudi,2024-06-24,Accused created fake documents to obtain loans under false identity.
Robin Brown,Kidnapping,Salem,2024-05-22,Accused abducted victim and demanded ransom through anonymous calls.
Dakota Moody,Assault,Cuddalore,2022-08-16,Accused attacked the victim using a blunt object in a public place.
Eric Sanders,Drug Trafficking,Madurai,2024-10-02,Accused smuggled drugs across borders using concealed luggage.
Andrew Lucas,Robbery,Cuddalore,2023-08-30,Accused used a weapon to threaten victims and steal valuables.
Richard Glenn,Burglary,Madurai,2023-11-09,Accused broke into the premises through windows during nighttime.
Robert Kim,Fraud,Nagercoil,2024-02-23,Accused created fake documents to obtain loans under false identity.
Stephanie Hughes,Assault,Salem,2023-03-29,Accused attacked the victim using a blunt object in a public place.
Jonathan Glass MD,Drug Trafficking,Madurai,2022-10-18,Accused smuggled drugs across borders using concealed luggage.
Angela Morrison,Fraud,Karur,2023-03-19,Accused created fake documents to obtain loans under false identity.
Erica Miller,Assault,Tirunelveli,2025-04-03,Accused attacked the victim using a blunt object in a public place.
Jeremy Robbins,Arson,Sivakasi,2023-02-25,Accused intentionally set fire to property using flammable materials.
Heather Williams,Assault,Hosur,2023-12-11,Accused attacked the victim using a blunt object in a public place.
Jessica Fowler,Robbery,Sivakasi,2022-09-09,Accused used a weapon to threaten victims and steal valuables.
Mark Cox,Assault,Tiruchirappalli,2025-05-02,Accused attacked the victim using a blunt object in a public place.
Andre Allison,Cybercrime,Thoothukudi,2025-04-30,Accused used phishing emails to obtain personal data and commit financial fraud.
Amanda Jones,Burglary,Tiruchirappalli,2025-03-10,Accused broke into the premises through windows during nighttime.
James Bradley,Cybercrime,Thoothukudi,2025-01-06,Accused used phishing emails to obtain personal data and commit financial fraud.
Jerry Watson,Assault,Hosur,2024-05-01,Accused attacked the victim using a blunt object in a public place.
Laura Moreno,Fraud,Dindigul,2024-02-20,Accused created fake documents to obtain loans under false identity.
Donald Horne,Fraud,Thoothukudi,2022-07-22,Accused created fake documents to obtain loans under false identity.
Kathryn Hughes,Arson,Thoothukudi,2024-10-31,Accused intentionally set fire to property using flammable materials.
Reginald Padilla,Robbery,Madurai,2023-05-11,Accused used a weapon to threaten victims and steal valuables.
Donna Hendricks DDS,Kidnapping,Thoothukudi,2022-12-19,Accused abducted victim and demanded ransom through anonymous calls.
Benjamin Thompson,Robbery,Chennai,2024-05-03,Accused used a weapon to threaten victims and steal valuables.
Rita Ponce DVM,Drug Trafficking,Salem,2025-04-14,Accused smuggled drugs across borders using concealed luggage.
Austin Daniels,Assault,Tirunelveli,2023-09-20,Accused attacked the victim using a blunt object in a public place.
Michelle Ho,Arson,Sivakasi,2025-02-26,Accused intentionally set fire to property using flammable materials.
Isaiah Walker,Kidnapping,Sivakasi,2023-04-20,Accused abducted victim and demanded ransom through anonymous calls.
Cynthia Snyder,Robbery,Tiruchirappalli,2023-12-24,Accused used a weapon to threaten victims and steal valuables.
Jackie Lara,Burglary,Salem,2024-10-15,Accused broke into the premises through windows during nighttime.
Stephen Jones,Robbery,Karur,2024-02-20,Accused used a weapon to threaten victims and steal valuables.
Dr. Kelly Hammond DVM,Cybercrime,Kanchipuram,2022-10-04,Accused used phishing emails to obtain personal data and commit financial fraud.
Evan Jones,Cybercrime,Coimbatore,2024-06-04,Accused used phishing emails to obtain personal data and commit financial fraud.
Haley Humphrey,Assault,Karur,2024-10-15,Accused attacked the victim using a blunt object in a public place.
Catherine Burch,Robbery,Karur,2024-04-14,Accused used a weapon to threaten victims and steal valuables.
Sheena Guerra,Fraud,Erode,2024-08-24,Accused created fake documents to obtain loans under false identity.
